,Year,Brand,Model,Comb_CO2,Prediction
0,2013,Aston Martin Lagonda Ltd,V8 Vantage,551,565.6690408
1,2013,Aston Martin Lagonda Ltd,V8 Vantage,581,579.9179438
3,2013,Aston Martin Lagonda Ltd,V8 Vantage S,581,579.9179438
8,2013,BMW,Z4 sDrive35i,415,450.094812
10,2013,Bugatti,Veyron,847,860.9804359
12,2013,Chevrolet,CORVETTE,457,557.7540091
13,2013,Chevrolet,CORVETTE,534,613.675395
15,2013,"Ferrari North America, Inc.",458 Italia,622,594.1934902
21,2013,Honda,CR-Z,238,262.4875936
22,2013,Honda,CR-Z,261,266.2763455
23,2013,Lamborghini,Aventador Coupe,676,697.9996777
25,2013,Lamborghini,Gallardo Coupe,562,586.327141
29,2013,MAZDA,MX-5,375,387.6646104
30,2013,MAZDA,MX-5,356,370.5330602
31,2013,MAZDA,MX-5,368,380.6911764
35,2013,Mercedes-Benz,SLK 250,339,372.370019
36,2013,Mercedes-Benz,SLK 250,343,369.1853369
41,2013,Mercedes-Benz,SLS AMG GT Roadster,592,630.6730316
42,2013,Mercedes-Benz,SLS AMG Roadster,592,630.6730316
43,2013,Mercedes-Benz,Smart fortwo (Convertible),244,286.012428
49,2013,Mini,Mini Cooper Roadster,295,333.1385647
50,2013,Mini,Mini Cooper Roadster,293,333.1385647
51,2013,Mini,Mini Cooper S Coupe,310,345.4090311
52,2013,Mini,Mini Cooper S Coupe,301,345.4090311
55,2013,Mini,Mini John Cooper Works Coupe,309,345.4090311
57,2013,Mini,Mini John Cooper Works GP-2,301,345.4090311
58,2013,Mini,Mini John Cooper Works Roadster,310,345.4090311
59,2013,Mini,Mini John Cooper Works Roadster,301,345.4090311
61,2013,NISSAN,370Z,429,463.5105853
64,2013,Porsche,Boxster,349,400.1144935
66,2013,Porsche,Boxster S,370,436.2608842
67,2013,Porsche,Boxster S,395,440.0496361
73,2013,FIAT,500,288,328.9081941
74,2013,FIAT,500,260,309.6642937
75,2013,FIAT,500 Abarth,288,328.9081941
76,2013,Jaguar Cars Ltd,Jaguar XK,474,533.6445527
77,2013,Jaguar Cars Ltd,Jaguar XK,508,561.6722024
80,2013,Lotus Cars Ltd,Evora,390,443.2209964
81,2013,Lotus Cars Ltd,Evora,402,467.7619292
84,2013,Mini,Mini Cooper,287,329.6518477
86,2013,Mini,Mini Cooper Convertible,295,333.1385647
88,2013,Mini,Mini Cooper S,310,345.4090311
93,2013,Mini,Mini John Cooper Works,301,345.4090311
94,2013,Mini,Mini John Cooper Works Conv.,310,345.4090311
96,2013,Porsche,911 Carrera,384,443.2343182
97,2013,Porsche,911 Carrera,407,450.2077522
107,2013,Porsche,911 Carrera Cabriolet,405,450.2077522
108,2013,Porsche,911 Carrera S,399,462.8931938
113,2013,Porsche,911 Turbo,464,496.3859971
115,2013,Porsche,911 Turbo Cabriolet,471,496.3859971
116,2013,Porsche,911 Turbo S,457,499.5706792
117,2013,Porsche,911 Turbo S Cabriolet,476,499.5706792
121,2013,Subaru,BRZ,317,356.2841572
124,2013,Audi,A5 Cabriolet quattro,374,395.84429
127,2013,Audi,A5 quattro,377,395.84429
131,2013,Audi,S5,413,462.0632435
133,2013,Audi,S5 Cabriolet,429,462.0632435
138,2013,Bentley Motors Ltd.,Continental GTC,604,652.2707031
139,2013,Bentley Motors Ltd.,Continental Supersports Convt,633,663.3349239
142,2013,BMW,128i,413,434.3376286
151,2013,BMW,328i Coupe,405,434.3376286
155,2013,BMW,335i Convertible,403,443.121378
157,2013,BMW,335i Coupe,403,443.121378
159,2013,BMW,335i Coupe xDrive,373,436.1479439
160,2013,BMW,335is Convertible,458,474.1997962
163,2013,BMW,335is Coupe,426,450.094812
165,2013,BMW,640i Coupe,341,421.5970061
167,2013,BMW,650i Convertible xDrive,473,529.769504
170,2013,BMW,M3 Convertible,564,543.4695182
173,2013,BMW,M3 Coupe,546,540.2848361
175,2013,BMW,M6 Convertible,517,547.8071589
180,2013,Ford,Fiesta FWD,270,312.2182626
181,2013,Ford,Fiesta FWD,271,309.0335805
182,2013,Ford,Fiesta SFE FWD,267,312.2182626
184,2013,Ford,MUSTANG,401,442.5902832
185,2013,Ford,MUSTANG,437,509.2375336
186,2013,Ford,MUSTANG,473,519.6976846
189,2013,HYUNDAI MOTOR COMPANY,GENESIS COUPE,430,416.7645921
196,2013,INFINITI,G37 COUPE,453,473.9707363
200,2013,LEXUS,IS 350 AWD,408,450.1944305
201,2013,LEXUS,IS 350/IS 350C,400,450.1944305
203,2013,MASERATI,GRANTURISMO,574,562.4843587
206,2013,Mercedes-Benz,C 350 (Coupe),383,446.4056786
207,2013,Mercedes-Benz,C 350 4Matic (Coupe),398,453.3791126
208,2013,Mercedes-Benz,C 63 AMG Black Series Coupe,576,630.6730316
209,2013,Mercedes-Benz,C 63 AMG Coupe,578,630.6730316
211,2013,Mercedes-Benz,E 350 (CONVERTIBLE),398,453.3791126
212,2013,Mercedes-Benz,E 350 (coupe),392,446.4056786
215,2013,Mercedes-Benz,E 350 4MATIC (coupe),398,453.3791126
217,2013,Mercedes-Benz,E 350 4MATIC (coupe),404,453.3791126
218,2013,Mercedes-Benz,E 550 (CONVERTIBLE),457,536.098903
219,2013,Mercedes-Benz,E 550 (COUPE),431,515.1786009
220,2013,Mini,Mini Cooper Clubman,295,333.1385647
225,2013,Mini,Mini John Cooper Works Clubman,301,345.4090311
226,2013,NISSAN,ALTIMA COUPE,337,372.1409591
228,2013,"Roush Industries, Inc.",Roush Stage 3 Mustang,488,561.6722024
231,2013,SCION,xD,297,332.8098863
235,2013,Suzuki,SX4 AWD,353,363.2575913
240,2013,Volkswagen,BEETLE CONVERTIBLE,378,393.5675344
242,2013,"Volvo Cars of North America, LLC",C70 FWD,398,406.1400357
244,2013,Acura,ILX,318,353.0994751
245,2013,Acura,ILX,361,386.4031838
251,2013,Audi,A4 quattro,377,395.84429
253,2013,Audi,S4,413,462.0632435
